Sl. No.,State/UT,5th Instalment (April 2020 to July 2020) - No. of Beneficiaries,5th Instalment (April 2020 to July 2020) - Amount Disbursed (in Rs. Cr.),6th Instalment (August 2020 to November 2020) - No. of Beneficiaries,6th Instalment (August 2020 to November 2020) - Amount Disbursed (in Rs. Cr.),7th Instalment (December 2020 to March 2021) - No. of Beneficiaries,7th Instalment (December 2020 to March 2021) - Amount Disbursed (in Rs. Cr.),8th Instalment (April 2021 to July 2021) - No. of Beneficiaries,8th Instalment (April 2021 to July 2021) - Amount Disbursed (in Rs. Cr.),9th Instalment (August 2021 to November 2021) - No. of Beneficiaries,9th Instalment (August 2021 to November 2021) - Amount Disbursed (in Rs. Cr.),10th Instalment (December 2021 to March 2022) - No. of Beneficiaries,10th Instalment (December 2021 to March 2022) - Amount Disbursed (in Rs. Cr.),11th Instalment (April 2022 to July 2022) - No. of Beneficiaries,11th Instalment (April 2022 to July 2022) - Amount Disbursed (in Rs. Cr.),12th Instalment (August 2022 to November 2022) - No. of Beneficiaries,12th Instalment (August 2022 to November 2022) - Amount Disbursed (in Rs. Cr.),13th Instalment (December 2022 to March 2023) - No. of Beneficiaries,13th Instalment (December 2022 to March 2023) - Amount Disbursed (in Rs. Cr.),14th Instalment (April 2023 to July 2023) - No. of Beneficiaries,14th Instalment (April 2023 to July 2023) - Amount Disbursed (in Rs. Cr.),15th Instalment (August 2023 to November 2023) - No. of Beneficiaries,15th Instalment (August 2023 to November 2023) - Amount Disbursed (in Rs. Cr.),16th Instalment (December 2023 to March 2024) - No. of Beneficiaries,16th Instalment (December 2023 to March 2024) - Amount Disbursed (in Rs. Cr.),17th Instalment (April 2024 to July 2024) - No. of Beneficiaries,17th Instalment (April 2024 to July 2024) - Amount Disbursed (in Rs. Cr.),18th Instalment (August 2024 to November 2024) - No. of Beneficiaries,18th Instalment (August 2024 to November 2024) - Amount Disbursed (in Rs. Cr.),19th Instalment (December 2024 to March 2025) - No. of Beneficiaries,19th Instalment (December 2024 to March 2025) - Amount Disbursed (in Rs. Cr.)
26,Puducherry,10198.0,2.2,10635.0,2.27,10344.0,2.1,10251,2.07,10245,2.06,10218.0,2.06,10157.0,2.06,9953,2.01,9119.0,1.83,8316,1.68,8054,1.68,8266,1.94,8182,1.73,8033.0,1.64,8032.0,1.65
27,Punjab,1901762.0,417.89,1904615.0,384.87,1871660.0,374.47,1759992,357.07,1738693,349.17,1713931.0,349.62,1697444.0,340.94,207564,41.87,861015.0,308.69,856693,182.4,497229,152.67,717284,247.63,840274,290.56,926132.0,272.81,1023521.0,327.46
28,Rajasthan,5710243.0,1463.78,6315729.0,1425.43,6641898.0,1432.92,6933839,1600.96,6968492,1468.2,7143603.0,1525.23,7111460.0,1493.29,5672291,1164.1,5389297.0,1136.75,5688854,1283.27,4865932,1179.78,6260727,1641.19,6725726,1525.64,7032027.0,1545.08,7306768.0,1661.37
29,Sikkim,5681.0,2.34,6091.0,1.22,7917.0,1.58,9558,2.36,9754,2.04,9911.0,2.23,9490.0,2.26,11206,4.42,8052.0,1.98,10617,2.84,13945,6.73,20607,9.72,24364,6.4,28104.0,6.66,30515.0,7.17
30,Tamil Nadu,4304758.0,933.64,4408836.0,902.8,3751568.0,756.76,3774706,792.53,3709969,744.82,3673806.0,742.29,3192735.0,707.52,2207417,452.94,2029571.0,414.31,2095323,443.91,2045366,491.39,2150555,503.46,2183435,460.03,2194651.0,455.94,2250180.0,490.42
31,Telangana,3473585.0,748.58,3586323.0,735.54,3574008.0,729.98,3549963,730.54,3593144,793.92,3606996.0,753.59,3553309.0,740.78,3253047,656.34,2984823.0,615.11,2951129,614.59,2871812,664.13,3064930,765.35,3098123,654.66,3077516.0,627.51,3106592.0,649.15
32,Dadra and Nagar Haveli and Daman and Diu,14035.0,2.92,9410.0,1.88,9690.0,1.95,9849,2.11,7561,2.68,11481.0,3.7,12737.0,3.71,12599,2.6,11429.0,2.34,11492,2.42,10346,2.33,11335,3.22,11567,2.56,11587.0,2.44,11691.0,2.46
33,Tripura,199346.0,42.92,210166.0,42.74,219043.0,44.48,212358,43.99,214747,43.71,219098.0,46.24,233210.0,53.59,231362,49.4,219164.0,44.63,221258,45.63,194950,44.57,215284,49.14,225528,55.5,229366.0,47.67,236514.0,50.82
34,Uttar Pradesh,21312145.0,5056.93,21907403.0,4620.65,22816796.0,4754.53,23726074,5517.12,23957522,5058.28,24174417.0,5199.61,24096709.0,5043.46,18227643,3717.19,17427353.0,3693.39,18654256,4249.92,17561389,4181.87,20364793,5376.64,21486114,4830.39,22579461.0,4982.59,23542883.0,5489.68
35,Uttarakhand,767903.0,169.53,833794.0,174.78,849303.0,174.37,836890,174.74,878373,185.8,891441.0,186.58,889330.0,182.19,672735,136.06,720079.0,157.79,759704,168.86,679677,160.88,751027,183.23,786760,177.97,796983.0,168.76,820368.0,180.94
36,West Bengal,,,,,,,2029753,573.53,3584790,980.01,4629277.0,1074.79,4678485.0,1030.14,4444111,928.72,4291039.0,881.48,4472175,1004.2,3980679,909.34,4405643,1140.25,4498404,964.42,4503169.0,931.55,4555495.0,979.03
